Nombre empresa,Puesto ofertado,Ubicación,Días activos,Nº Solicitudes,Nivel experiencia,Sector,Tipo jornada,Funciones laborales,Descripción
Amazon,Junior Data Analyst,"Barcelona, Cataluña, España",Publicado hace hace 6 horas,66 visualizaciones,Sin experiencia,Software Servicios y tecnologías de la información Internet,Jornada completa,Estrategia/planificación Análisis Tecnología de la información,"Description

Junior Data Analyst
We are hiring for several shifts: Monday to Friday morning and Monday to Friday afternoon.

Are you passionate about leveraging data to deliver actionable insight that impacts daily business decision of Amazon in a promising new market segment?
Does the prospect of dealing with massive volume of data excite you?
Amazon is seeking a Transportation Performance Analyst to join Amazon's European Special Handling (EU SH) team. EU SH team is responsible for the end-to-end Heavy/Bulky journey in the fulfilment, supply chain and transportation daily business and its strategic vision in Europe.
Amazon has culture of data-driven decision-making, and demands business intelligence that is timely, accurate, and actionable. During our day to day operations, tons of data is generated which is leveraged to take our important business decisions.
Our ideal candidate thrives in a fast-paced environment, relishes working with large transactional volumes and big data, enjoys the challenge of highly complex business contexts (that are typically being defined in real-time), and, above all else, is passionate about data and analytics.
As an Analyst you will be developing SQL/ETL queries, accessing data warehouse and redshift clusters, creating automated reports through macros, creating relevant KPIs and metrics for performance of team as well as for transportation operations. Publish daily/weekly performance reports. You will give us business insights based upon data to further improve our operations and processes.

A successful candidate knows and loves working with business intelligence tools, is comfortable accessing and working with big data from multiple sources, and passionately partners with the business to identify strategic opportunities and deliver results.

You should have an internal drive to answer “why?” questions, excellent analytical abilities and strong technical skills.

Responsibilities
Create metrics, performance dashboards and reports
Drive root cause analysis
Engage with cross-functional teams and/or carriers/vendors for implementation of project/program requirements
Managing multiple projects/initiatives
Communication at all levels with the ability to present information professionally & concisely with supporting data

Basic Qualifications
VBA, SQL or other coding experience to support automation initiatives
Working experience with data visualization tools such as Tableau, Power BI or Quicksight.
Preferred Qualifications
Experience in business process improvement, Lean/Six Sigma
Proven independent decision making skills in an often times ambiguous environment.
Ability to think quantitatively and qualitatively about operating processes and outcomes
Previous experience within transportation or logistics.
Amazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success.
We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice to know more about how we collect, use and transfer the personal data of our candidates


Company - Amazon Road Transport Spain, S
Job ID: A1452785
Nivel de experiencia
Sin experiencia
Sector
Software Servicios y tecnologías de la información Internet
Tipo de empleo
Jornada completa
Funciones laborales
Estrategia/planificación Análisis Tecnología de la información"
Packlink.com,Business Data Analyst,"Madrid, Comunidad de Madrid, España",Publicado hace hace 1 semana,638 visualizaciones,Intermedio,Servicios y tecnologías de la información Logística y cadena de suministro,Jornada completa,Negocios Tecnología de la información Análisis,"Do you want to be a part of a fast-paced company? We are looking for a Business Data Analyst, this is a great opportunity for you!

About us
At Packlink, we aim to be the fastest-growing global provider of shipping services and technology.

We're building the ideal shipping platform for private customers and businesses. Shipping is a complex endeavor and small to midsize companies need to be able to easily handle the shipping needs of their day-to-day work. With our technology, SMBs can improve their shipping experience and deliver a premium service to their customers.

Operating in more than 10 countries, our passion for getting shipping right means we support our customers every step of the way, making shipping simple and transparent. 
 Our employees work on interdisciplinary teams with clearly defined responsibilities that maximise individual talents to further common goals.

Is it the right fit?
This time we are looking for a talented, highly motivated and data-driven Pricing Data Analyst to join our Pricing Team.

As a collaborative team player you will be:
Delivering on our budget targets. In the Pricing team our main KPIs and daily obsessions are Revenue and Gross Profit. You will analyse performance, define optimisation measures and implement them through A/B tests. 
New tools: we have ambitious plans to revamp our Pricing tool and to develop state-of-the-art dynamic Pricing capabilities. You will contribute to the definition of those new tools and use them once developed by our Pricing tech team.
Benchmark: we are setting up an automated price benchmark and need to develop an analytical framework around this data.
Revenue diversification: you will contribute to revenue diversification initiatives (e.g. Insurance).

What we're looking for?
An appetite for solving Business problems with data.
3-5 years of experience as a Business Analyst (preferably in Pricing / Revenue management).
An entrepreneurial spirit (the team is just starting and there is an exciting challenge ahead!).
Some knowledge of SQL / BigQuery.
Professional proficiency in English.
A very strong Analytical mind.

What we offer
✔️ Competitive salary package: The salary range for this position is 35.000-40.000 + Bonus.
📙 Personal Training Budget.  Up to 800€/year training budget (certifications, conferences attendance…) for investing in your professional development. We want to help you to improve your technical skills, feel involved in the tech community, and develop your soft skills in order to lead teams or manage other stakeholders. 
 🗺️ Languages classes on a weekly basis. Thirsty of knowledge? Learn a new language by joining our free English/Spanish/French classes. In groups of 4-5 people, you can connect and enjoy learning your favourite language with one of our great coaches. 
👕 Our culture is our aim to be.  A young and upbeat work environment. Leave your suit behind; we’re a t-shirt and converse kind of place. 
🌍 International environment for developing your cross-cultural skills. A truly international team: 10 languages, 20 nationalities working in the same company. Also, our company language is English and all internal communication and open meetings are in English. 
💻 Configure your workstation. Whether you prefer Mac or Linux (or Windows…), 1 additional screen or 2… enjoy your brand-new work from home set-up essentials. 
🏡 We like overcoming barriers Bring your talent and work from home. (After COVID situation, now we are fully remote). We are able to look for the best combination of remote and office-days. From 3 days WFH per week up to 3 days per month working in the office with your team we are happy to configure your perfect scheme. 
⚖️ Work-life balance. If you have kids or you want to go to the gym at the morning… Your work-life balance is really important for us! Our work-time scheme is flexible and you only need to share your preferences with your manager. We will find the best fit for you! 
🏐 Health and Wellness. We care about you! You can choose between the gym membership, physiotherapy sessions or private health insurance, 100% free! Also, we have psychological assistance free of charge. 
🏟️ Company events. Work hard, play hard! We do our best every day even in our regular team-building events. Now it will be remote but we hope to come back again! 
💰 Flexible Salary. We work with Cobee in order to save taxes with our reflex plan: transport, restaurant and kindergarten. 
💸 Great and transparent compensation policy. We included the salary ranges in all job offers in order to be clear about our expectations. In addition, we will discuss this range with you in the first recruiting call to assure that we are aligned.

and many, many more surprises... Come join us!
Nivel de experiencia
Intermedio
Sector
Servicios y tecnologías de la información Logística y cadena de suministro
Tipo de empleo
Jornada completa
Funciones laborales
Negocios Tecnología de la información Análisis"
Mutua Madrileña,Data Analyst,"Madrid, Comunidad de Madrid, España",Publicado hace hace 2 semanas,3490 visualizaciones,Algo de responsabilidad,Seguros,Jornada completa,Otro,"Anunciado por
Adriana Sánchez
Experta Desarrollo Recursos Humanos
Enviar mensaje InMail
En el área de Datos de Mutua buscamos una persona que ayude a impulsar el uso y explotación de los datos a las áreas de negocio, contribuyendo de manera determinante en la transformación de Mutua en una compañía data driven 
 Como parte del equipo de Datos, los principales objetivos serían: 
 Ayudar a impulsar el uso de herramientas de gestión y explotación de datos en las áreas de negocio para lograr una mayor autonomía, potenciando aún más la toma decisiones haciendo uso de los datos 
Asesorar y diseñar soluciones de visualización y explotación con negocio para comprender y manejar datasets complejos en un formato sencillo e intuitivo con el objetivo de ofrecer al usuario final una experiencia atractiva en el uso y aprovechamiento del dato 
Dar soporte y colaborar en la gestión del cambio con los usuarios de negocio en el desarrollo de sus habilidades de visualización y tratamiento de datos 
Maximizar el valor derivado de los datos, su uso y explotación, fomentando la creación de valor haciendo uso de los activos de datos de la Compañía 
Utilizar técnicas de tratamiento, estructuración y visualización de datos avanzadas para construir los outputs que sean requeridos por el área de Datos (modelos de solución con diseño orientado a la explotación final) 
 Experiencia / Skills 
6 años de experiencia 
Nivel alto de inglés 
Formación universitaria en Ingeniería Informática, Ingeniería Industrial, Ingeniería Telecomunicaciones, Matemáticas o equivalente 
Conocimiento profundo del valor que aportan los datos y qué tipo de análisis posibilita 
Capacidad de comunicar de forma clara y concisa, incluyendo la capacidad de transmitir visión estratégica a otros 
Capacidad para impulsar el desarrollo de casos de negocio, incluyendo análisis cuantitativos y cualitativos 
Capacidad para presentar información compleja de una manera comprensible y convincente 
Experiencia probada en el diseño y desarrollo de informes y dashboards 
Competencia en el manejo de herramientas de visualización, por ejemplo, Power BI, QlikView o Tableau (se valorará especialmente la experiencia en Power BI) 
Experiencia en la estructuración de la información para su aprovechamiento y explotación por parte de negocio (creación de modelo de datos, mapeo de fuentes origen a destino, pruebas e implantación) 
Experiencia en SQL y otros lenguajes de manipulación de datos esenciales (Python, Java...) 
 Se valorará positivamente: 
Formación complementaria en Big Data y Analytics  
Experiencia en la creación de soluciones completas de Big Data / BI 
Experiencia en automatización de procesos de negocio que incluyan el tratamiento de datos (p.e. procesos ETL, RPAs,,,) 
Experiencia en la gestión de los datos estructurados y no estructurados 
Lenguajes avanzados de tratamiento de datos (R, SAS, Scala…

¿Te unes a nuestro reto profesional?
Queremos conocerte
Nivel de experiencia
Algo de responsabilidad
Sector
Seguros
Tipo de empleo
Jornada completa
Funciones laborales
Otro"
Lookiero,Data Analyst,"Respaldiza, País Vasco / Euskadi, España",Publicado hace hace 2 semanas,3374 visualizaciones,Intermedio,Sector textil,Jornada completa,Ingeniería Tecnología de la información,"Anunciado por
Elena Martín
Talent Acquisition Specialist (P&T) @ Lookiero
Enviar mensaje InMail
What are we looking for?

We are looking for Data Analysts to join our teams throughout Lookiero. You will work with talented members of your team to help Lookiero makes better business decisions.

Successful members of this team are self-motivated professionals with a passion for both the business and technology innovation.

We look for these individuals:
Solid understanding of statistics coupled with strong business acumen.
Comfortable writing code on a daily basis (such as Python/R, others) and have strong SQL skills.
Experience with analytics tools such as Tableau (or similar…).
Analytical skills. Working with large amounts of data and being able to see through them and analyze it to find conclusions.
Communication skills to present your findings or translate data into understandable charts, documents, and dashboards.
Prioritize simplicity over complexity.
Experience with forecast/prediction modeling, creating business outlooks.

What can we offer?

A key position in one of the most important teams of the company where you can see your impact on the business from the very beginning.
Competitive salary
Remote working when you need it (even though this is not a fully-remote position, it's ok if you want to work from the beach).
Freedom entails responsibility.
Flexible schedules that work with your life.
You will work in an autonomous cross-functional team where decision making depends on team consensus.

What's Different About Us

Big impact - you will directly see your impact on the business and on our clients.

Data-driven - we use A/B testing to drive feature and product decisions.

Unique culture - We love to meet to have technical discussions, spend time in the book club to discuss technical approaches, prepare internal workshops, talks and much more.
Nivel de experiencia
Intermedio
Sector
Sector textil
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información"
YEGO,Junior Data Analyst,"Barcelona, Cataluña, España",Publicado hace hace 3 días,1122 visualizaciones,Sin experiencia,Software Marketing y publicidad Transporte por carretera o ferrocarril,Jornada completa,Ciencias Análisis Tecnología de la información,"Mission
As a Junior Data Analyst you will support and empower Yego´s departments with key data that will allow them to make strategic decisions and improve business performance.
Reporting to the Data Scientist Lead, this role is embedded in the day-to-day business performance and holds the reporting responsibilities for Yego.
The Junior Data Analyst will be a key partner for Operations and Marketing departments providing and analyzing performance trends, user acquisition, and retention rates, rides forecast, operations performance, etc.

Responsibilities
Business KPIs reporting
Product Analytics, tracking and reporting on the product features and improvements
Maintaining and improving the reporting and visualization outcomes
Identify, analyze and interpret trends and anomalies in the data for different departments, communicate findings
Provide insight, guidance, and recommendations to Operations and Marketing by interpreting and analyzing the business data
Discovering and exploring datasets and proposing new tracking to improve data sources and decisions
Forecasting and setting targets at department/function level to reach objectives as well as working with the teams to see business cases for uplifts in the KPIs results

Requirements

BS degree in Computer Science, Mathematics, Physics, Business Administration or related fields.
1-2 years of experience in relevant roles
Knowledge of statistical methods and data analysis techniques for both quantitative and qualitative data analysis
Possess advanced computer skills knowledge, experience working with different databases and data warehousing understanding
Strong knowledge of and experience with SQL (MySQL or Postgresql), and understanding of ETL programming (Python)
Expertise in statistical analysis and experience using tools to report and visualize (Tableau, R, Python, Cluvio, and others)
Strong analytical skills with the ability to collect, organize, analyze and disseminate significant amounts of information with attention to detail and accuracy
Good communication and presentation skills as well as utilize data obtained and analysis performed to guide the business performance

Perks
Participating in changing mobility for good into a cool, hassle-free, and environmentally-friendly experience with passionate people to work on the same goal.
Private Health Insurance.
Gym membership discounts.
Unlimited use of Yego vehicles.
Flexible working hours and remote working conditions.
Nivel de experiencia
Sin experiencia
Sector
Software Marketing y publicidad Transporte por carretera o ferrocarril
Tipo de empleo
Jornada completa
Funciones laborales
Ciencias Análisis Tecnología de la información"
Banco Santander,Data Analyst (compliance),"Madrid, Comunidad de Madrid, España",Publicado hace hace 3 meses,3166 visualizaciones,Sin experiencia,Dotación y selección de personal Banca Servicios financieros,Jornada completa,Tecnología de la información,"About

We want to let you know more about us and our project, but first we're going to share with you a little bit of our history

At Openbank, the 100% digital bank of the Santander Group, we are in the midst of a digital transformation and international expansion process. To achieve this, we are recruiting a team of great professionals, who love technology, innovation, the digital world and of course achieving great challenges. Sounds good.

We were born in 1994 as pioneers in digital banking and since then we have worked to innovate every day. Proof of this is that we launched the first native application for iPad and implemented WhatsApp as a way of communicating with our users. We currently have more than 1 million customers who have placed their trust in us, and that is why we take care of the quality and security of all our services. In 2017 we launched a new web and app platform, using the latest cloud-based technology and with an API layer for all services. That same year we created Open Digital Services (ODS), our technology subsidiary, to recruit the team that would help us achieve our greatest challenge: international growth and technological development. Today, we are developing our Core Banking and have already landed in the Netherlands, Germany and Portugal, and will soon land in Argentina.

As you can see, we haven’t stopped growing and innovating, working in a start-up format, using agile methodologies and making use of the latest technologies. We work with AWS, Microservices Architecture, Mobile Development (iOS and Android) and Big Data Ecosystems among others. Our goal is to take our users' experience to the next level. We are a flexible and fast adapting team, able to work with displaced teams and with a culture that makes us different. We have social and diversity clubs, such as our Padel or LGTBI+ Club and we have more than 30 different nationalities which allows us to have a multicultural and changing environment.

Now that you know us a little better... Would you like to join our ODS team and grow with us?

We are waiting for you!

Innovation focused and passionate about data are a must!

Main Tasks
Collecting and interpreting data from different sources in our AWS Datalake.
Analysing results from different commercial actions and drive insights that can lead to optimizing our business.
Reporting the results back to the relevant members of the business, using data visualization tools.
Identifying patterns and trends in data sets, as well as automate these tasks so we can spend less time reviewing normality and more time analyzing interesting anomalous patterns.
Defining new data collection and analysis processes from our different business verticals, such as wealth, insurance, or new countries.
Locate and define new process improvement opportunities
Ability to identify and automate recurring tasks (through scripts or dashboards).
Create a repository of key queries (really useful queries could be interesting for the rest of the team and for your future work).
Generate documentation of all the processes to facilitate their understanding, transfer or backup.

Qualifications

You have experience on:
Statistical analysis: you know the basic statistical concepts, and know how to implement them in different programming languages (ideally R, Python or Spark). You know when to use different indicators and have experience summarizing data insights with them.
Dealing with large datasets, and implementing scalable solutions. You know what data cleaning means and how to interact with a data engineer.
How to solve problems using data: analyze the problem and decompose it into different analytical components, and recycle all the components you can from other projects.
Software development: you know what git means, and how to develop your own code, test it and use it to produce actionable results. Open-source lovers get a plus if you show us your github!
Data Visualization, and tools like ggplot, matplotlib, tableau, or similar. Bonus points for Microstrategy, or QuickSight.
You are an SQL-ninja, writing simple exploratory or efficient queries won't be a problem for you
You have a minimum of 3 years of experience in the sector

Moreover, We Need That
You can give and take criticism well. You don’t get defensive when your ideas are challenged, and you have to be polite enough to challenge others´ ideas.
You are confident but not arrogant. You ask for help when you need it. When they don’t know something they just say so. You value and celebrate the contributions of others.
You get things done. You collaboratively create thoughtful plans, communicate them to others, hustle to get resources, and then execute. You are organized. You strongly favor simple and elegant solutions over complex ones.
You don’t freak out when things go wrong. Who wants to work for someone who is constantly in a panic?
You can think at different altitudes. That is, you are equally comfortable dealing with both the big picture and the fine details.
You are superb communicator. You explain your ideas clearly and succinctly. You ask others for input. You listen carefully. You build on the ideas of others. Your presentations are not death by PowerPoint.
Transparency is one of your main cards. You enjoy sharing your knowledge.
You are a team player
You can think at different altitudes. That is, you are equally comfortable dealing with both the big picture and the fine details.
You are superb communicator. You explain your ideas clearly and succinctly. You ask others for input. You listen carefully
Nivel de experiencia
Sin experiencia
Sector
Dotación y selección de personal Banca Servicios financieros
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
Ministerio De Trabajo E Inmigración,"Data Analyst, Madrid.","Madrid, Comunidad de Madrid, España",Publicado hace hace 4 días,18 visualizaciones,Sin experiencia,Ingeniería civil Dotación y selección de personal Recursos humanos,Jornada completa,Tecnología de la información,"Data Analyst en Madrid Se encargará principalmente de : Extracción, tratamiento y análisis de datos.
Estudio, propuesta de acciones de mejora y medición de resultados, con el objetivo de contribuir en la mejora del desarrollo del negocio.
Definición, medición y automatización de KPI´s, cuadros de mando, objetivos e informes de gestión.
Detección, creación de sistemas de alerta y análisis de desviaciones en los objetivos y KPI´s.
Mejora y mayor operatividad del cuadro de mandos integral.
Desarrollo de modelos de negocio.
Cruces de datos y segmentación de información.
Participación en la definición, desarrollo, implementación y automatización de nuevos procesos y proyectos. - Ofrecemos un buen ambiente de trabajo, trabajar dentro de un equipo joven, dinámico y profesional. - Puesto estable. - Jornada completa de lunes a viernes. - Paquete retributivo e
Grados universitarios de más de 240 créditos ECTS, Licenciaturas, Másteres y especialidades de ciencias de la salud por el sistema de residencia y similares.
undefined
undefined

Disponibilidad Para Viajar

No

Disponibilidad Para Cambio De Residencia

No
Nivel de experiencia
Sin experiencia
Sector
Ingeniería civil Dotación y selección de personal Recursos humanos
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
Savills Aguirre Newman,Data Analyst,"Madrid, Comunidad de Madrid, España",Publicado hace hace 3 días,748 visualizaciones,Algo de responsabilidad,Arquitectura y planificación,Jornada completa,Otro,"En Savills Aguirre Newman, consultora inmobiliaria internacional, queremos incorporar un/a Data Analyst para formar parte de la División de Valoraciones y Tasaciones basado/a en nuestras oficinas de Madrid.

Funciones:

-Ayuda en la automatización y óptima gestión de los datos generados por el equipo de Valoraciones

-Mejora recurrente y desarrollo constante del modelo empleado para la valoración de activos

-Creación de un data warehouse que almacene tanto la valoración de los diferentes activos como de operaciones similares o comparables en el mercado

-Colaboración en la transformación de datos en insights para el negocio



Requisitos:

-Valorable Grado en Informática, Matemáticas ó Estadística así como formación en Big Data o Business Intelligence.

-Experiencia entre 1 y 2 años realizando funciones similares.

-Dominio de VBA, SQL, Power BI así como del Paquete Office, imprescindible alto dominio de Excel.

-Nivel alto de inglés.

-Persona analítica, con orientación al dato, organizada, proactiva, metódica y buen teamplayer.
Nivel de experiencia
Algo de responsabilidad
Sector
Arquitectura y planificación
Tipo de empleo
Jornada completa
Funciones laborales
Otro"
Accenture España,Big Data Analyst - Madrid,"Madrid, Comunidad de Madrid, España",Publicado hace hace 4 semanas,6995 visualizaciones,Intermedio,Servicios y tecnologías de la información Software Telecomunicaciones,Jornada completa,Tecnología de la información Ingeniería,"Esta es tu oportunidad para unirte a un equipo diverso de personas apasionadas por el Big Data.

En buenas manos ¡las tuyas! las enormes cantidades de información que las empresas recopilan hoy pueden convertirse en un activo muy valioso manejadas estratégicamente. Ayudamos a nuestros clientes a ser más eficientes haciendo el mejor uso posible de los datos, aprovechados por los expertos para impulsar un nuevo motor de crecimiento de servicios de información.

Si te gusta aprender y disfrutas de una gran pasión por trabajar con nuevas tecnologías además de ayudar a los clientes a administrar los datos de manera efectiva para generar conocimiento y valor, este es tu sitio. Estamos buscando desarrolladores en Accenture, el lugar perfecto para continuar construyendo tu carrera. Nuestro equipo está creciendo por lo que siempre estamos atentos a nuevo talento como el tuyo. Las oportunidades dentro de las emocionantes iniciativas en el entorno digital que llevamos a cabo con nuestros clientes son ilimitadas, por tanto no te faltarán inspiración o desafíos.

Algunas de tus responsabilidades:


Desarrollo de software usando tecnologías Big Data

Formar parte de equipos multidisciplinares

Participación en proyectos para grandes clientes


¿Te unes al Big Data | Accenture Technology team? ¡Aplica online!

#BigDataNinja

Requisitos:


Titulación técnica: Informática u otras con experiencia equivalente (Telecomunicaciones, Matemáticas, Física, otras ingenierías, etc.)

+2 años de experiencia real en producción con tecnologías Big Data (Spark, Hive, Kafka, Flink, etc.)

Alguna/varias bases de datos NoSQL (MongoDB, HBase, ElasticSearch, Cassandra, etc.)

Herramientas Agile (Jira, Jenkins, Bamboo, Git, Sonar, etc.)


Valorable:


Experiencia en AWS o Azure

Certificaciones en AWS, Azure o Big Data (Cloudera, Databricks, MongoDB, Kafka, etc.)

Experiencia en proyectos para grandes clientes


Accenture ofrece igualdad de oportunidades y acepta solicitudes de todos los sectores de la sociedad y no discrimina por motivos de raza, religión o creencias, origen étnico o nacional, discapacidad, edad, ciudadanía, estado civil, orientación sexual o Identidad de género, o cualquier otra base según lo protegido por la ley vigente.
Nivel de experiencia
Intermedio
Sector
Servicios y tecnologías de la información Software Telecomunicaciones
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información Ingeniería"
Adevinta,Data Analyst,"Barcelona, Cataluña, España",Publicado hace hace 6 días,666 visualizaciones,Intermedio,Internet,Jornada completa,Ingeniería,"Company Description

We are a world leading online classifieds business that reaches more than 200 million people each month through our household name brands across 16 countries. Our brands include Leboncoin, OLX, fotocasa, Infojobs and Shpock to name a few.

Our brands are supported by global tech hubs in Paris and Barcelona. Their goal is to develop common global product & innovation platforms which all of our brands can use; this means using bleeding edge technology to create highly scalable, highly customisable and secure products and components to free up the development time of our brands and leverage our access to global data.

Job Description

The Trust & Transactions tribe will play an instrumental role in supporting marketplaces in our joint mission.

Our Product Portfolio Consists Of Three Strong Products

We will achieve this by working closely with marketplaces to solve their main problems within these domains.
Messaging: Our in-app chat product
Serenity: Our fraud prevention application
Trust: Our product aimed at increasing the trust between buyers and sellers
We are looking for a proactive Data Analyst to help us take Trust and Transactions to the next level.

Responsibilities
Work closely with Product, UX and Engineering teams on optimizing existing features and building new ones.
Be responsible for experiments - brainstorm, design, plan, analyze and communicate results of the experiments that should help answering the most important business questions.
Perform analysis to understand user behaviour and proactively propose solutions based on the findings of this research.
Help stakeholders make decisions by answering their ad-hoc questions based on data
Design and maintain tracking events for the product to make sure the performance can be measured. At the same time, ensure the highest quality of the data collected.
Design KPIs to analyze performance of the product and its impact on business.
Build and maintain dashboards to allow stakeholders track performance of the features of their interest.
Work with Data Engineers to design and implement datasets to streamline analysis processes.
Have a key role in building data culture within the company. Teach your colleagues on the importance of data and explain statistical concepts to non-data people.

Qualifications
3-4 years of experience as Data Analyst, ideally in Product team
Excellent problem solving skills.
Ability to organize your work efficiently and prioritize tasks. Experience with Agile methodologies desired.
Solid statistical background.
Ability to run and optimize advanced SQL queries
Experience in defining tracking and events
Strong experience in experimentation (especially AB testing)
Advanced knowledge of Python / R with emphasis on data analysis packages.
Working knowledge of Jupyter Notebook.
Experience with visualization tools such as Tableau, Looker or Qlik.
Basic knowledge of Git and command-line
Very strong communication skills (both written and verbal). Ability to explain difficult concepts to non-technical audiences.

Additional Information

Not essential but would be a strong plus:
Experience in e-commerce company
Apache Spark
Basic knowledge of AWS Cloud
Nivel de experiencia
Intermedio
Sector
Internet
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería"
