,Nombre empresa,Puesto ofertado,Ubicación,Días activos,Nº Solicitudes,Nivel experiencia,Sector,Tipo jornada,Funciones laborales,Descripción
0,Amazon,Data Scientist,"Barcelona, Cataluña, España",Publicado hace hace 2 días,749 visualizaciones,Job ID: A1469178,Software Servicios y tecnologías de la información Internet,Jornada completa,Ingeniería Tecnología de la información,"Description

We are looking for a Data Scientist to help Amazon Search NLP to build an Search evaluation data set. It is a short (5-month) full-time job starting ASAP. We are looking for an individual interested in search and search relevance (quality), with the patience to analyze hundreds of queries and search results, and with the ingenuity to propose new leads. The work is likely to lead to a publication and the creation of a public dataset, which could be well cited. Basic coding and data manipulation skills are required, as well as some experience analyzing data qualitatively and English writing skills. Background in IR theory or ML is not necessary.

A Typical Day May Consist Of
Manually Evaluate queries and query search results, annotating them with information about query types, relevance, issues, etc.
Write simple Python notebook code to sample data, to compute evaluation metrics, etc.
Write documentation describing the datasets and their statistics.
Design new experiments, query types, and mechanisms for sampling and evaluating.
The Search NLP team is responsible for developing and deploying state of the art machine learning and NLP models to extract semantic information from product search queries, item descriptions, reviews, and many other sources of information created by millions of Amazon customers each day. You will be working alongside world-class scientists and engineers to build next generation search systems.

Amazon Science (www.amazon.science) gives you insight into the company’s approach to customer-obsessed scientific innovation. Amazon fundamentally believes that scientific innovation is essential to being the most customer-centric company in the world. It’s the company’s ability to have an impact at scale that allows us to attract some of the brightest minds in artificial intelligence and related fields. Our scientists continue to publish, teach, and engage with the academic community, in addition to utilizing our working backwards method to enrich the way we live and work.


Basic Qualifications
M.S. in Computer Science, Data Science, Machine Learning, Operational Research, Statistics or a related quantitative field
1+ years of hands-on experience in data analysis for large scale applications
1+ years hands-on experience in Python, Perl, Scala, Java, C#, C++ or other similar languages
Experience in designing experiments and statistical analysis of results.
Superior verbal and written communication and presentation skills.
Ability to convey mathematical results to non-science stakeholders. Strength in clarifying and formalizing complex problems.
Preferred Qualifications
Ph.D. (or enroled in PhD program) in Search, Natural Language Processing, Machine Learning, or a related quantitative field.
1+ years of practical industry experience in Search, Data Analysis, or Information Retrieval.
Technical fluency; comfort understanding and discussing architectural concepts and algorithms,
A passion for innovation
Excellent critical thinking skills, combined with the ability to present your beliefs clearly and compellingly in both verbal and written form.
#nichetech
#nichetechESP


Company - Amazon Spain Services, S.L.
Job ID: A1469178
Sector
Software Servicios y tecnologías de la información Internet
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información"
0,Zurich Insurance Company Ltd,Data Scientist,"Barcelona, Cataluña, España",Publicado hace hace 11 horas,180 visualizaciones,Intermedio,Seguros Servicios financieros,Jornada completa,Estrategia/planificación,"The purpose of Zurich is...

What are we looking for?

You will join the Data & Analytics team, consisting of data scientists who are passionate about building cutting edge solutions to solve real-world business challenges.

Leverage data to develop innovative models using latest machine learning & advanced analytics techniques.
Ensure data quality through data cleaning.
Manipulate high-volume, high-dimensionality data to highlight patterns, relationships, anomalies and trends.
Work with business stakeholders to understand the business needs, develop and defend actionable solutions to business challenges.
Communicate results and solutions to diverse audience across the organization, within the Spanish Business Unit and at Global level.
Contribute to one or more of the following areas: forecasting, A/B testing, customer analytics (churn prediction, cross sell), personalization & recommender design, fraud detection, graph analytics, text analytics, image recognition.

What do we need?

At least 2 years relevant data-intensive project/ industry experience as a data scientist.
Experience in designing, developing and deploying analytical solutions; experience in deploying analytical solutions in Cloud (AWS) would be considered a plus.
Detailed knowledge of statistical and predictive modelling concepts and disciplines.
Academic experience, preferably at Master level, in one or more of the following areas: Mathematics, Statistics, Physics, Computer Science, Econometrics, Finance, or other data/math intensive field.
Proven track record of programming in Python.
Knowledge of ML libraries: sklearn, pandas, pyspark, nltk, different OCRs, web APIs, MLOps practices is considered a plus.
Fluent Spanish and English are fundamental pre-requisites and international experience is considered a plus.
Highly collaborative working style.
Strong drive for excellence.
Proactive.
Good communication skills. Ability to exchange ideas and convey complex information clearly and concisely.

For being from zurich

At Zurich we want to take care of you and these are some of your benefits:

Flexible compensation.
Restaurant card.
Home office voucher.
Flexwork: 20 hours a week to work where and when you want.
Pension plan - Life insurance.
Bank and insurance offer.
Discount in gyms.
Zurich Wellness, sports activities.
Zurich Sports Club, free registration for marathons and popular races.
Free English classes.

About Us

Our nearly 55,000 employees in more than 215 countries and territories are the foundation of our success. They are the ones who enable companies and communities to confront a world of risk with confidence. Imagine if you could help people do this all over the world. You would give them confidence and peace of mind by protecting what they love the most. It is a great challenge, but you will have the support of a great international team that is ready to help you so that you can reach your full potential and thus fulfill our promises. We have already started and we are changing the way of making insurance. For this we need talented people, the desire to learn and passion! Will you join us?

""Zurich, 14 consecutive years as Top Employer""

Zurich Insurance has and applies an equal employment opportunity policy. Our goal is to attract and retain the best professionals without discriminating on disability, race, nationality, religion, gender, sexual orientation or age.
Nivel de experiencia
Intermedio
Sector
Seguros Servicios financieros
Tipo de empleo
Jornada completa
Funciones laborales
Estrategia/planificación"
0,El Corte Inglés,Data Engineer,"Madrid, Comunidad de Madrid, España",Publicado hace hace 1 semana,2011 visualizaciones,Algo de responsabilidad,Venta al por menor Artículos de consumo Servicios y tecnologías de la información,Jornada completa,Consultoría Ingeniería Tecnología de la información,"Si lo que buscas es una empresa innovadora y líder en su sector, en constante cambio y adaptación a las demandas de nuestros clientes, capaz de generarte retos y desafíos diarios, dónde tus ideas y conocimientos puedan aportar un gran valor, este es tu sitio

Data Engineer

Como miembro del equipo de Estrategia de Clientes tu misión será apoyar a la consecución de los resultados de la compañía a través del diseño, desarrollo e implementación de los procesos de almacenamiento, procesamiento y análisis de grandes volúmenes de datos necesarios para la generación de reportes, análisis y campañas comerciales.

Funciones Principales:
- Diseño e implementación de los modelos de datos, tanto para el desarrollo del reporting como los procesos analíticos.
- Análisis de calidad de datos, limpieza, normalización y duplicación de fuentes de datos.
- Creación de reportes para la explotación y visualización avanzada de la información
- Organización, optimización y explotación de las bases de datos
- Automatización de los procesos de generación de información.
- Entender y conceptualizar requerimientos de Negocio para transformarlos en conocimiento y propuestas de valor.

Formación Académica:
Licenciatura/Grado, Informática, Ingenierías, físicas o similar

Requisitos:
- Experiencia mínima de 2 años como Data Engineer.
-Conocimientos avanzados de SQL,
- Experiencia en la creación de modelos de datos, integrando y gestionando conjuntos de datos de diferentes fuentes.
- Habilidades interpersonales: Ser capaz de entender y comunicar efectivamente y conseguir consenso de todas partes implicadas para adoptar soluciones eficaces y duraderas.
- Capacidad analítica, entender los datos, diagnosticar situación, identificar alternativas y proponer cambios/ recomendaciones
Nivel de experiencia
Algo de responsabilidad
Sector
Venta al por menor Artículos de consumo Servicios y tecnologías de la información
Tipo de empleo
Jornada completa
Funciones laborales
Consultoría Ingeniería Tecnología de la información"
0,WIRIS,Data Engineer,Barcelona y alrededores,Publicado hace hace 1 semana,305 visualizaciones,Algo de responsabilidad,Software,Jornada completa,Tecnología de la información,"Anunciado por
Julia Abad Castelló
Talent Acquisition Specialist en WIRIS
Enviar mensaje InMail
We are WIRIS, a software development company founded 20 years ago and headquartered in Barcelona with offices in the USA, Long Beach (California) since we acquired Design Science company in 2017. We are currently more than 60 people doing what we like, with deep knowledge in advanced technology and science.

Over the past few years, we’ve been named as “The Makers of MathType”, revolutionizing the educational field with innovative methods. In spite of the recent global pandemic, we’re continuously growing and keep developing new products and continually improving our value proposition for a global audience.
 Our Business Intelligence team is growing and we are looking for a Data Engineer to be responsible for expanding our data pipelines, as well as optimizing data flow and collection for cross functional teams. The right candidate will be a person who’s able to understand the business, and is able to provide solutions.
 Key Responsibilities
Collect, process, and clean data from different sources to be stored in our data lake
Design, implement and maintain scalable ETL data pipelines using cloud technologies that produce reliable insights
Design and develop visualizations and dashboards to support business analysis 
Work with stakeholders to assist with data-related problems and support their data / information needs.
Caring about documentation and quality both in process and implementation
Be an active member of the team, acting as a mentor to other teammates

Job Requirements
B.S / Msc in Computer Science or related fields
1-3 years of experience as a data engineer or a similar role
Fluent English and Spanish 
Good understanding of software development and agile methodologies
Strong knowledge of SQL and coding skills in object oriented programming (Python)
Strong knowledge of Python Data Science Stack (namely NumPy, SciPy, Pandas, Jupyter, etc)
Experience with serverless (Lambda, Glue) technologies (AWS solutions in particular)
Experience of Git, GitHub actions (or other CI/CD solutions) and Docker 
Experience working with modern BI tools (like Quicksight and Tableau)
Strong analytical and problem-solving skills
Good written and verbal communication skills

We offer:
Full time permanent position
Competitive salary + optional flex salary plan
Flexible working hours
Private health insurance 
Financial aid for work-related training or courses
In-house English lessons to improve your knowledge
Great work environment in Barcelona city center
All the coffee you can drink, fresh fruit and yoghurt
Nivel de experiencia
Algo de responsabilidad
Sector
Software
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información"
0,MANGO,Data Scientist,"Palau-solità i Plegamans, Cataluña, España",Publicado hace hace 7 horas,215 visualizaciones,Algo de responsabilidad,Venta al por menor,Jornada completa,Análisis Negocios Tecnología de la información,"Buscamos un/a Data Scientist para que se incorpore a nuestro equipo de Insights. Formarás parte del equipo de Data que configura la estrategia, la arquitectura y la infraestructura de datos de Mango.
 ¿CÓMO ES NUESTRO EQUIPO?
 En Mango inspiramos y unimos mediante nuestra pasión por el estilo y la cultura. Estamos en 118 países y nuestra presencia online se extiende a más de 80 países. Nuestro equipo está formado por personas de 112 nacionalidades y en un 80% por mujeres.
 Somos un equipo muy dinámico, motivado por las nuevas tecnologías, con pasión por lo que hacemos y abiertos a afrontar grandes retos que nos permitan seguir creciendo y aportando valor a través de los datos.
 ¿QUÉ HACE UN/A INSIGHTS DATA SCIENTIST EN MANGO?
 Tu objetivo será utilizar análisis avanzados para dar forma a la estrategia de negocio de Mango con un rol de consultoría interna.
 En tu día a día…
 Usarás técnicas de análisis avanzadas para resolver preguntas desafiantes de negocio que influyen directamente o dicta nuestra estrategia.
Trabajarás con grandes volúmenes de datos no estructurados, como Clickstream de nuestros canales digitales y señales RFID de nuestras tiendas.
Usarás algoritmos matemáticos: modelos geográficos (huff gravity, distance decay…), modelos de segmentación (clustering…) o modelos de predicción (random forest…)
Dibujarás, estructurarás y comunicarás a los diferentes stackeholders insights y recomendaciones de negocio basadas en el análisis de los datos.
Interactuarás con los diferentes stackeholder claves de toda la empresa en Online, Cliente, Producto, Retail y Supply Chain.
  ¿QUÉ ESPERAMOS DE TI?
 Que tengas un grado en ingeniería, matemáticas, estadística o económicas.
Que aportes experiencia en el desarrollo de modelos matemáticos avanzados y en el manejo de grandes volúmenes de datos no estructurados.
Que aportes experiencia desarrollando en Python y/o R y SQL.
Que tengas capacidad para extraer insights de negocio a partir de los datos y crear presentaciones efectivas para comunicarlos.
Que tengas fuertes habilidades interpersonales para mantener conversaciones sobre negocio.
Que tengas pasión por los datos y habilidades de liderazgo empresarial, como la estructuración de problemas, buena comunicación para la realización de presentaciones.
Muy valorable tener experiencia en una consultoría estratégica o en empresa final de primer nivel.
  ¿QUÉ NOS HACE ESPECIALES? 
Incorporación inmediata con contrato indefinido
Horario flexible y jornada intensiva los viernes. 50% homeworking.
Formarás parte de una empresa líder en el sector de la moda, dinámica y en plena innovación.
Trabajarás con un gran equipo que va en la misma dirección para conseguir los mejores resultados.
Ambiente de trabajo cercano, inspirador y ambicioso.
25% de descuento en todas nuestras líneas (Woman, Man, Kids, Violeta y Accesorios)
Market de muestrario para renovar tu armario dos veces al año
Transporte gratuito de empresa desde Barcelona y el Vallés.
Formación en idiomas, mindfulness y programas de desarrollo personal, entre otros.
Beneficios sociales y descuentos.
Mango Talks mensuales sobre transformación digital, moda y la actividad de nuestros equipos.
Oportunidades constantes de desarrollo con retos muy variados que generan aprendizaje en el puesto de trabajo.
GymForLess (#andjoy)
  You got it?
We like you!
Nivel de experiencia
Algo de responsabilidad
Sector
Venta al por menor
Tipo de empleo
Jornada completa
Funciones laborales
Análisis Negocios Tecnología de la información"
0,Walters People,Data Scientist,"Madrid, Comunidad de Madrid, España",Publicado hace hace 2 horas,153 visualizaciones,Sin experiencia,Biotecnología,Jornada completa,Análisis,"Desde Walters People, buscamos Data Scientist, para importante empresa de Análisis Clínicos.













Habilidades deseadas:

Experto en técnicas de Machine Learning.


Experiencia en el trabajo directo con Negocio.


Habilidades de programación y control de programas como Python, control de la tecnología y de las bases de datos como SQL y trabajar en cloud AWS.


Diseño de un sistema de reporting para la visualización de los datos, sobre todo en materia de Business Intelligence como Power BI.
Conocimientos informáticos que debe aportar o ""conocer"":

Hadoop
C#
Storm
Spark
Java
Scala
R
Tableau
SAS
Python
Nivel de experiencia
Sin experiencia
Sector
Biotecnología
Tipo de empleo
Jornada completa
Funciones laborales
Análisis"
0,YEGO,Junior Data Analyst,"Barcelona, Cataluña, España",Publicado hace hace 4 días,1218 visualizaciones,Sin experiencia,Software Marketing y publicidad Transporte por carretera o ferrocarril,Jornada completa,Ciencias Análisis Tecnología de la información,"Mission
As a Junior Data Analyst you will support and empower Yego´s departments with key data that will allow them to make strategic decisions and improve business performance.
Reporting to the Data Scientist Lead, this role is embedded in the day-to-day business performance and holds the reporting responsibilities for Yego.
The Junior Data Analyst will be a key partner for Operations and Marketing departments providing and analyzing performance trends, user acquisition, and retention rates, rides forecast, operations performance, etc.

Responsibilities
Business KPIs reporting
Product Analytics, tracking and reporting on the product features and improvements
Maintaining and improving the reporting and visualization outcomes
Identify, analyze and interpret trends and anomalies in the data for different departments, communicate findings
Provide insight, guidance, and recommendations to Operations and Marketing by interpreting and analyzing the business data
Discovering and exploring datasets and proposing new tracking to improve data sources and decisions
Forecasting and setting targets at department/function level to reach objectives as well as working with the teams to see business cases for uplifts in the KPIs results

Requirements

BS degree in Computer Science, Mathematics, Physics, Business Administration or related fields.
1-2 years of experience in relevant roles
Knowledge of statistical methods and data analysis techniques for both quantitative and qualitative data analysis
Possess advanced computer skills knowledge, experience working with different databases and data warehousing understanding
Strong knowledge of and experience with SQL (MySQL or Postgresql), and understanding of ETL programming (Python)
Expertise in statistical analysis and experience using tools to report and visualize (Tableau, R, Python, Cluvio, and others)
Strong analytical skills with the ability to collect, organize, analyze and disseminate significant amounts of information with attention to detail and accuracy
Good communication and presentation skills as well as utilize data obtained and analysis performed to guide the business performance

Perks
Participating in changing mobility for good into a cool, hassle-free, and environmentally-friendly experience with passionate people to work on the same goal.
Private Health Insurance.
Gym membership discounts.
Unlimited use of Yego vehicles.
Flexible working hours and remote working conditions.
Nivel de experiencia
Sin experiencia
Sector
Software Marketing y publicidad Transporte por carretera o ferrocarril
Tipo de empleo
Jornada completa
Funciones laborales
Ciencias Análisis Tecnología de la información"
0,ADEREN,Data Scientist.,"Madrid, Comunidad de Madrid, España",Publicado hace hace 4 días,81 visualizaciones,Sin experiencia,Servicios y tecnologías de la información Software Internet,Jornada completa,Ingeniería Tecnología de la información,"Job Description

Data Scientist

CONOCIMIENTOS TÉCNICOS Y DE NEGOCIO
Conocimiento del ecosistema de herramientas Open Source relacionadas con Big Data y Analítica (Hadoop, programación distribuida, BBDD SQL y NO SQL, Tensorflow) - Conocimientos de programación: R, Python PySpark, SQL - Experiencia en Analítica Predictiva y Prescriptiva - Conocimientos en técnicas de optimización y modelado estadístico:
Aprendizaje supervisado: regresión logística, redes bayesianas, random forest, baggins, clustering, ...
Aprendizaje no supervisado: clustering, reducción dimensional, ...
Machine Learning - Conocimientos sobre Datawarehousing (Teradata, Oracle) y reporting clásico (Business Objetc, Microstrategy) - Conocimientos de Data Engineer en gestión de bases de datos, arquitecturas de clusters, lenguajes de programación y sistemas de procesamiento de datos - Conocimiento sobre servicios de ecosistemas Cloud: Azure Data Factory, Azure ML, Azure Cosmos DB, AWS Sagemaker, AWS DynamoDB, etc.
Experiencia

Obligatoria: - Experiencia en el sector de telecomunicaciones - Experiencia de trabajo con bases de datos relacionales (mínimo 2 años) preferentemente en Teradata - Al menos 3 años de experiencia en programación, análisis de información, resolución de problemas y desarrollo de algoritmos - Al menos 3 años de experiencia en SQL, SAS/SPSS
Deseable: - Al menos 1 año de experiencia en tecnologías Big Data, Hadoop, Spark, etc - Manejo de herramientas de Data Discovery

Condiciones laborales
Contrato modalidad Freelance
Tarifa: 240?-260?.
En función de valía del candidato.
Recurrencia en proyectos.
Lugar de trabajo: mixto/ahora teletrabajo en un futuro mixta (Madrid)
Disponibilidad inmediata
, , { margin: 0cm; margin-bottom: ; font-size: 12pt; font-family: ""Calibri"", sans-serif } , , { margin-right: 0cm; margin-left: 0cm; font-size: 12pt; font-family: ""Times New Roman"", serif } .MsoChpDefault { font-family: ""Calibri"", sans-serif } { page: WordSection1 }

Disponibilidad Para Viajar

No

Disponibilidad Para Cambio De Residencia

No
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Software Internet
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información"
0,AXA,Data Scientist,"Madrid, Comunidad de Madrid, España",Publicado hace hace 3 días,1070 visualizaciones,Intermedio,Seguros,Jornada completa,Tecnología de la información Otro,"Responder a los retos de Negocio extrayendo conocimiento a partir de los datos desarrollando modelos de Inteligencia Artificial/ Machine Learning. Investigar de manera proactiva nuevas técnicas de trabajo con los datos buscando facilitadores para futuros Casos de Uso.
 Responsabilidades
Análisis de las necesidades de Áreas de Negocio.
Diseño de la solución, colaborando con arquitectos de los datos.
Trabajo con múltiples conjuntos de datos de diferentes tipos/formatos, incluyendo el procesamiento y depuración necesario para desarrollar estudios estadísticos y algoritmos.
Programación de las funciones/algoritmos para ser aplicados sobre conjuntos de datos.
Identificación qué algoritmos/técnicas estadísticas deben aplicarse de cara a resolver retos específicos de negocio.
Desarrollo de los modelos de ML.
Creación de los mecanismos de monitorización de modelos.
Capacidad para transmitir a negocio en lenguaje sencillo el trabajo realizado y conseguir despertar su interés por los proyectos de Data Science.
Investigación e implementación de las mejores prácticas en el análisis de datos, Machine Learning y Artificial Intelligence.

Perfil
Requisitos:
Formación académica: matemáticas aplicadas, estadística, informática
Master/especialización en Big Data o Data Science
Imprescindible experiencia de más de 4 años en puesto de Data Science
Capacidad para trabajar de forma autónoma, resolviendo problemas en entornos de alta incertidumbre, tener iniciativa y capacidad de innovación
Actitud curiosa y reflexiva para tratar de responder a preguntas de negocio en un entorno muy cambiante
Capacidad para proponer y liderar iniciativas de forma proactiva
 Conocimientos:
Lenguajes de programación (Python, Scala, Spark, SQL…)
Frameworks and big data tech: (Databricks, Spark, Kafka, cloud computation …)
Imprescindible Statistical Analysis, Machine Learning y deseable Deep Learning
Uso de herramientas de control de versión de código (p.e. Git, SVN)
Mejores prácticas relacionados con privacidad y uso apropiado de los datos (p.e. GDPR)
Deseable experiencia de trabajo en entorno Azure
Nivel de experiencia
Intermedio
Sector
Seguros
Tipo de empleo
Jornada completa
Funciones laborales
Tecnología de la información Otro"
0,TomTom,Data Scientist,"Comunidad de Madrid, España",Publicado hace hace 1 semana,180 visualizaciones,Sin experiencia,Servicios y tecnologías de la información Software Internet,Jornada completa,Ingeniería Tecnología de la información,"At TomTom…You’ll move the world forward. Every day, we create the most innovative mapping and location technologies to shape tomorrow’s mobility for the better.

We are proud to be one team of more than 5,000 unique, curious, passionate problem-solvers spread across the world. We bring out the best in each other. And together, we help the automotive industry, businesses, developers, drivers, citizens and cities move towards a safe, autonomous world that is free of congestion and emissions.

What You’ll Do
Collecting large amounts of unruly (spatial) data and transforming it into a more usable format.
Solve business-related problems using data-driven techniques
Working with a variety of programming languages, including SAS, R and Python
Staying on top of analytical techniques such as machine learning, deep learning and text analytics.
Identify patterns in data, as well as spotting trends that can help improving the business’s bottom line
Communicating and collaborating with both Software Engineering and with the Maps Operations Team globally
Share and present your data analysis insights to key decision maker to enable them to achieve company strategy
What you’ll need:
University Degree in computer science, Mathematics, Statistic or similar.
3+ year experience as Data Scientist
Familiar with Microsoft cloud computing: Azure & Databricks
Programming experience with Python, R and SQL
Experience in creating statistical models
Big Data analysis expertise
Experience creating Mathematical models, algorithms, prediction models using Machine Learning.
Great experience with data visualization (storytelling) (e.g. Tableau, PowerBI)
Fluent English
Nice to have:
Experience with Scala & PySparks
Previous Experience with Spatial Data
Meet your teamWe’re Maps, a product unit within TomTom’s Location Technology Products technical unit. Our team is comprised of over 2,000 people in 40 countries – all driven to deliver the most up-to-date, accurate and detailed maps for the hundreds of millions of people using TomTom maps around the world. Joining our team, you’ll help continuously innovate our map-making processes, create a real-time closed loop between detected changes in the real world and the users’ map, and build maps that will enable the future of autonomous driving.

Achieve more We are self-starters who play well with others. Every day, we solve new problems with creativity, meet new people and learn rapidly at our offices around the world. We will invest in your growth and are committed to supporting you. In everything we do, we’re guided by six values: We care, putting our heart into what we do; we build trust (you can count on us); we create – driven to make a difference; we are confident, but don’t boast; we keep it simple, since life is complex enough; and we have fun because life’s too short to be boring.

After you applyOur recruitment team will work hard to give you a meaningful experience throughout the process, no matter the outcome. Your application will be screened closely and you can rest assured that all follow-up actions will be thorough, from assessments and interviews through your onboarding.

TomTom is an equal opportunity employerWe celebrate diversity, thrive on each other’s differences and are committed to creating an inclusive environment at our offices around the world. Naturally, we do not discriminate against any employee or job applicant because of race, religion, color, sexual orientation, gender, gender identity or expression, marital status, disability, national origin, genetics, or age.
Nivel de experiencia
Sin experiencia
Sector
Servicios y tecnologías de la información Software Internet
Tipo de empleo
Jornada completa
Funciones laborales
Ingeniería Tecnología de la información"
