,id,breed,name_breed,description
0,0,affenpinscher,Affenpinscher,"The Affenpinscher, also known as the Monkey Terrier, is a terrier-like toy Pinscher breed of dog.

"
1,1,afghan_hound,Afghan Hound,No description available.
2,2,african_hunting_dog,African Hunting Dog,"The African wild dog (Lycaon pictus) is a canine which is a native species to sub-Saharan Africa. It is the largest wild canine in Africa, and the only extant member of the genus Lycaon, which is distinguished from Canis by dentition highly specialised for a hypercarnivorous diet, and a lack of dewclaws. It is estimated that about 6,600 adults (including 1,400 mature individuals) live in 39 subpopulations that are all threatened by habitat fragmentation, human persecution and outbreaks of diseases. As the largest subpopulation probably consists of less than 250 individuals, the African wild dog has been listed as endangered on the IUCN Red List since 1990.The African wild dog is a highly social animal, living in packs with separate dominance hierarchies for males and females. Uniquely among social carnivores, the females rather than the males disperse from the natal pack once sexually mature. The young are allowed to feed first on carcasses. The species is a specialised diurnal hunter of antelopes, which it catches by chasing them to exhaustion. Like other canids, the African wild dog regurgitates food for its young, but this action is also extended to adults, to the point of being central to their social life. Its natural enemies are lions and hyenas: the former will kill the canids where possible, whilst hyenas are frequent kleptoparasites.Although not as prominent in African folklore or culture as other African carnivores, it has been respected in several hunter-gatherer societies, particularly those of the predynastic Egyptians and the San people."
3,3,airedale,Airedale,"The Airedale Terrier (often shortened to ""Airedale""), also called Bingley Terrier and Waterside Terrier, is a dog breed of the terrier type that originated in the valley (dale) of the River Aire, in the West Riding of Yorkshire, England.  It is traditionally called the ""King of Terriers"" because it is the largest of the terrier breeds.  The Airedale was bred from the Old English Black and Tan Terrier (now known as the Welsh Terrier), the Otterhound and probably some other Terrier breeds, and has contributed to other dog breeds, such as the Yorkshire Terrier. Originally bred to serve as a versatile hunting and all around working farm dog, in Britain this breed has also been used as a war dog, guide dog and  police dog.  In the United States, this breed has been used to hunt big game, upland birds, and water fowl, and serve in many other working capacities.

"
4,4,american_staffordshire_terrier,American Staffordshire Terrier,"The American Staffordshire Terrier, also known as the AmStaff or American Staffy is a medium-sized, short-coated American dog breed.The height of an American Staffordshire Terrier is 17–19 in (43–48 cm) tall and weighs between 40–70 lb (18–32 kg). The American Kennel Club (AKC) describes the breed as ""confident, smart and good-natured."" American Staffordshire Terriers are similar to American Pit Bull Terriers, though the American Pit Bull Terrier is not recognized by the American Kennel Club. The breed was accepted by the AKC in 1936. It should not be confused with the Staffordshire Bull Terrier of the United Kingdom.

"
5,5,appenzeller,Appenzeller,"Appenzell is a historic canton in the northeast of Switzerland, and entirely surrounded by the canton of St. Gallen.
Appenzell became independent of the Abbey of Saint Gall in 1403 and entered a league with the Old Swiss Confederacy in 1411, becoming a full member in 1513. It has been divided since into Appenzell Innerrhoden and Appenzell Ausserrhoden since 1597 as a result of the Swiss Reformation.
The territory of Appenzell as a geographical entity is known as Appenzellerland while in political contexts, the two cantons (until 1999 half-cantons) are referred to as beide Appenzell (""both Appenzells"").

"
6,6,australian_terrier,Australian Terrier,"The Australian Terrier is a small breed of dog of the terrier dog type. The breed was developed in Australia, although the ancestral types of dogs from which the breed descends were from Great Britain.

"
7,7,basenji,Basenji,"The Basenji is a breed of hunting dog. It was bred from stock that originated in central Africa. The Fédération Cynologique Internationale places the breed in its Spitz and primitive types. The Basenji produces an unusual yodel-like sound, due to its unusually shaped larynx. This trait also gives the Basenji the nickname barkless dog.Basenjis share many distinctive traits with pariah dog types. Basenjis come into estrus only once annually similar to dingoes and New Guinea singing dogs, when compared with other dog breeds which may have two or more breeding seasons each year. Basenji lack a distinctive odor, and are prone to howls, yodels, and other vocalizations over the characteristic bark of modern dog breeds. The breed's original foundation stock came from the Democratic Republic of the Congo.

"
8,8,basset,Basset,No description available.
9,9,beagle,Beagle,"The beagle is a breed of small hound that is similar in appearance to the much larger foxhound. The beagle is a scent hound, developed primarily for hunting hare (beagling). Possessing a great sense of smell and superior tracking instincts, the beagle is the primary breed used as detection dogs for prohibited agricultural imports and foodstuffs in quarantine around the world. The beagle is intelligent. It is a popular pet due to its size, good temper, and a lack of inherited health problems.
The modern breed was developed in Great Britain around the 1830s from several breeds, including the Talbot Hound, the North Country Beagle, the Southern Hound, and possibly the Harrier.
Beagles have been depicted in popular culture since Elizabethan times in literature and paintings, and more recently in film, television, and comic books.

"
